[1-1]	1	1562689	1555848	3116295	1583155	1605798	4093869	2043741	4101473
[2-2]	2	2013572	1930352	1903846	2043826	2212923	8084501	2187422	8121481
[3-3]	3	3184577	2955320	1721218	3109647	3561952	14918692	2430617	14895172
[4-4]	4	5413860	5014835	1992573	5136708	6031558	25180829	3600512	25152848
[5-5]	5	8986162	8239169	2595486	8317832	9781910	39246136	6013961	39143435
[6-6]	6	13753384	12624184	3769665	12645944	14837276	57356234	10616659	57501327
[7-7]	7	19480414	17919297	5888384	17968382	21004200	80392127	18562002	80556688
[8-8]	8	25939022	23863481	9568461	24246024	28192083	108318390	31218568	108188460
[9-9]	9	33226278	30488701	15681719	31424417	36555769	139894795	49492044	139060358
[10-10]	10	42010412	38325970	25152664	39908660	46712187	172578977	73713681	170509877
[11-11]	11	53248960	48174158	38903525	50421170	59386480	202657712	103130942	198968411
[12-12]	12	67962721	61230497	57362663	63479862	74967614	225993633	135570825	221009331
[13-13]	13	86659689	78105324	80428119	79785565	93846602	239397997	168200139	233772030
[14-14]	14	109121818	98755327	107219418	99029985	115429677	241254690	197272102	235845086
[15-15]	15	133980805	122344988	135797774	120466176	138334158	231734696	219709412	227328338
[16-16]	16	159126165	146995142	163674065	142614640	160560255	212657660	232753772	209832932
[17-17]	17	181932972	170291314	188160023	163428398	180040060	186946084	235399917	186023043
[18-18]	18	199719803	189600017	206718490	180908733	194491920	157893383	227730997	158670483
[19-19]	19	210349490	202938692	217608567	193294555	202472022	128404306	211275004	130641460
[20-20]	20	212841683	208778698	219823421	199396770	203284979	100867547	188529057	104124258
[21-21]	21	206921857	206710612	213727213	198589667	197065940	76663670	162030030	80452944
[22-22]	22	193803405	197146925	200255628	191129511	184543925	56643720	134552623	60507434
[23-23]	23	174991050	181466386	181149249	178125993	167263341	40745202	108061654	44245334
[24-24]	24	152575145	161404159	158561980	160769155	146903376	28665571	84148400	31706184
[25-25]	25	128698659	138999200	134425356	140839977	125105127	19848008	63646518	22277409
[26-26]	26	105211755	116082350	110678358	119860584	103570505	13583490	46878481	15460029
[27-27]	27	83461596	94134658	88472780	99202235	83395412	9275392	33664573	10632819
[28-28]	28	64336581	74265079	68906258	80039204	65420191	6370150	23710939	7321287
[29-29]	29	48297054	57065442	52303207	62933093	50032360	4449275	16397391	5077353
[30-30]	30	35339472	42869085	38823602	48334327	37404353	3191561	11210402	3585644
[31-31]	31	25339974	31465746	28204017	36297002	27361188	2382169	7607111	2614149
[32-32]	32	17804548	22659912	20122783	26730990	19648047	1844993	5169689	1971512
[33-33]	33	12313009	16052007	14142261	19307679	13893811	1485662	3548888	1539777
[34-34]	34	8437505	11210692	9818951	13773145	9706412	1237750	2500402	1256475
[35-35]	35	5759231	7770572	6791087	9709297	6727579	1056490	1810660	1061770
